#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
135,1c:b9:c4:95:44:87,,36,-86.0,32.104750634791365,35.21122999135554,699.6870730661485,2017-12-03 08:40:40
136,1c:b9:c4:15:3d:58,Ariel_University,11,-69.0,32.10202988101847,35.20957702875317,701.3788014776477,2017-12-03 08:46:16
137,1c:b9:c4:14:30:0c,Ariel_University,36,-85.0,32.10506214894986,35.21071549460977,692.6868607099875,2017-12-03 08:40:43
138,1c:b9:c4:95:1e:67,,36,-89.0,32.10263051540787,35.21002970756891,712.9572535195944,2017-12-03 08:46:31
139,10:be:f5:39:8f:f2,LARISA,3,-86.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15
140,1c:b9:c4:12:90:bc,Ariel_University,40,-77.0,32.10309633501203,35.20864552102475,692.2722169114571,2017-12-03 08:41:28
141,ec:8c:a2:08:79:a8,Ariel_University,6,-74.0,32.10491382296204,35.211288776254904,696.246735109303,2017-12-03 08:44:36
142,e8:94:f6:d5:98:86,TP-LINK_D59886,9,-94.0,32.10225656,35.21001902,692.0,2017-12-03 08:46:27
143,ec:8c:a2:88:78:37,,40,-90.0,32.103323385092075,35.20778662747971,690.7687922307229,2017-12-03 08:37:58
144,1c:b9:c4:16:11:a8,Ariel_University,1,-76.0,32.10277860667275,35.208693680526075,689.9768372817309,2017-12-03 08:46:00
145,1c:b9:c4:96:1d:77,,44,-85.0,32.10377001820289,35.20885655710274,710.364346402885,2017-12-03 08:50:20
146,1c:b9:c4:15:36:98,Ariel_University,1,-81.0,32.10506211253501,35.21102384176,707.0969257981664,2017-12-03 08:44:55
147,1c:b9:c4:14:2b:8c,Ariel_University,44,-90.0,32.103388164157224,35.209780212663475,713.0579802632583,2017-12-03 08:46:43
148,14:ae:db:3a:64:05,tanya,1,-86.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13
149,ec:8c:a2:08:78:cc,Ariel_University,48,-74.0,32.103313748425805,35.20875344832207,711.2859371331249,2017-12-03 08:54:24
150,1c:b9:c4:15:3d:5c,Ariel_University,36,-82.0,32.101993215281134,35.209569911503216,690.6407658565206,2017-12-03 08:41:50
151,00:1a:dd:f5:06:a4,,13,-83.0,32.10593532045871,35.21038076777716,688.6045855255679,2017-12-03 08:39:04
152,24:79:2a:2b:bd:8c,Ariel_University,44,-83.0,32.10379299376427,35.21009379786531,703.0223738791423,2017-12-03 08:42:20
153,00:1a:dd:f5:06:a5,Afikim_Wifi,13,-84.0,32.10593532045871,35.21038076777716,688.6045855255679,2017-12-03 08:39:04
154,00:1a:dd:f5:e9:25,Afikim-73925,1,-58.0,32.10606022015398,35.21093256776517,688.7280169392087,2017-12-03 08:39:07
155,00:1a:dd:f5:e9:24,PEPWAVE_C99D,1,-59.0,32.10599130709257,35.21067407854037,688.697305537084,2017-12-03 08:39:01
156,a4:08:f5:20:72:6a,HOTFiber-3C40,1,-87.0,32.102861507686676,35.2076291986019,691.1036071541976,2017-12-03 08:37:42
157,00:0e:f4:c1:50:14,vladimir,11,-92.0,32.10263460161589,35.20757686137406,692.0341048029708,2017-12-03 08:37:36
158,1c:b9:c4:16:f1:98,Ariel_University,11,-72.0,32.10241426278101,35.208917956727724,691.0815986677769,2017-12-03 08:46:03
159,74:ea:3a:ad:d1:50,TP-LINK_ADD150,4,-71.0,32.10456190386735,35.20964986393054,690.9731389293391,2017-12-03 08:50:04
160,1c:b9:c4:15:3d:68,Ariel_University,6,-78.0,32.10306897568407,35.20992116954822,697.5126561999358,2017-12-03 08:46:48
161,1c:b9:c4:12:7c:cc,Ariel_University,36,-81.0,32.1027523911542,35.208907096190345,692.7219571771868,2017-12-03 08:50:49
162,1c:b9:c4:14:30:38,Ariel_University,1,-65.0,32.102885453821436,35.209715530318185,702.0,2017-12-03 09:03:58
163,a0:4f:d4:3b:e9:01,Lidor a,6,-84.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13
164,ec:8c:a2:09:0c:c8,Ariel_University,1,-86.0,32.10342051137385,35.20780552775216,690.6874448611455,2017-12-03 08:38:04
165,ec:8c:a2:08:90:cc,Ariel_University,36,-87.0,32.10342051137385,35.20780552775216,690.6874448611455,2017-12-03 08:38:04
166,ec:8c:a2:08:79:ac,Ariel_University,36,-83.0,32.10492500759182,35.21127839113247,694.8433061264184,2017-12-03 08:44:48
167,1c:b9:c4:14:33:cc,Ariel_University,48,-78.0,32.10240537799725,35.20927179135266,691.9519507443641,2017-12-03 08:41:34
168,8c:0c:90:6e:16:88,,11,-78.0,32.10404830833277,35.20901582646195,704.8985792334342,2017-12-03 08:50:19
169,ec:8c:a2:89:8c:37,,44,-86.0,32.10371440835981,35.2078263595938,690.4758805974767,2017-12-03 08:38:13
170,00:02:6f:8e:64:67,,1,-87.0,32.10344907131183,35.20923973447799,708.5804377769539,2017-12-03 09:01:13
171,24:79:2a:2c:5b:d8,Ariel_University,1,-79.0,32.10451028123601,35.20956278203328,690.9269777998517,2017-12-03 08:41:01
172,30:b5:c2:b8:40:36,,13,-91.0,32.10494482726751,35.210446896260514,717.6172124232385,2017-12-03 08:49:48
173,ec:8c:a2:26:b0:e8,Ariel_University,6,-81.0,32.103336548885146,35.20879859139285,689.5897399154546,2017-12-03 08:46:00
174,90:6c:ac:9f:f1:c5,CliClap,2,-86.0,32.10432787109739,35.20944039333655,718.4184377798202,2017-12-03 08:45:36
175,00:1a:dd:e3:06:e4,afikim-wifi,1,-53.0,32.102529803081474,35.2073198916877,699.8860444903256,2017-12-03 08:37:10
176,1c:b9:c4:15:43:ec,Ariel_University,36,-86.0,32.10242980563411,35.208947499060585,703.1653776429945,2017-12-03 08:50:49
177,1c:b9:c4:95:ed:47,,44,-87.0,32.104906121909195,35.21135241304572,691.7266026300563,2017-12-03 08:40:34
178,1c:b9:c4:16:f4:2c,Ariel_University,44,-87.0,32.10256320773488,35.20920355827046,702.9965823423263,2017-12-03 08:41:50
179,1c:b9:c4:16:f4:28,Ariel_University,11,-75.0,32.1022129912316,35.209061075421495,690.4342219144884,2017-12-03 08:50:49
180,90:6c:ac:9f:fb:27,Guest,36,-89.0,32.10489300606392,35.20928224839672,690.7435731036957,2017-12-03 08:38:52
181,ec:8c:a2:08:90:c8,Ariel_University,11,-78.0,32.1036008123458,35.20781952974852,690.554277052172,2017-12-03 08:38:07
182,1c:b9:c4:16:11:ac,Ariel_University,44,-83.0,32.102730164401365,35.208700591039346,702.3883024681678,2017-12-03 08:54:29
183,1c:b9:c4:96:28:e7,,36,-72.0,32.103616012610395,35.20876129259736,690.9078519852889,2017-12-03 08:50:23
184,24:79:2a:2c:61:6c,Ariel_University,36,-92.0,32.10413712623305,35.210824460173626,704.7212452331758,2017-12-03 08:51:42
185,00:1a:dd:f4:f5:c4,,13,-87.0,32.105318087420024,35.20982751003385,689.5653714268656,2017-12-03 08:38:22
186,00:1a:dd:f4:f5:c5,Afikim_Wifi,13,-85.0,32.104581436384365,35.20798824471468,689.781770849375,2017-12-03 08:38:22
187,1c:b9:c4:14:2c:18,Ariel_University,1,-75.0,32.10233098111135,35.209415095227364,702.684132397287,2017-12-03 08:51:01
188,ec:8c:a2:08:78:c8,Ariel_University,6,-75.0,32.10259996,35.20952533,697.0,2017-12-03 08:58:43
189,90:6c:ac:9f:fb:1f,Guest,1,-69.0,32.104613272224064,35.20980330643984,687.5609958506224,2017-12-03 08:45:16
190,cc:b2:55:e7:7e:ba,Bezeq-NGN_E77EB9,6,-87.0,32.106181954122206,35.21168763894033,689.1981253462078,2017-12-03 08:39:16
